,equity
790,14097.86116505707
791,14097.86116505707
792,14090.815757178481
793,13456.553081226924
794,13424.805211108946
795,14343.147688226782
796,14057.44860575353
797,14057.44860575353
798,14057.44860575353
799,14057.44860575353
800,14057.44860575353
801,14057.44860575353
802,14057.44860575353
803,14057.44860575353
804,14057.44860575353
805,14057.44860575353
806,14057.44860575353
807,14057.44860575353
808,14057.44860575353
809,14057.44860575353
810,14057.44860575353
811,14057.44860575353
812,14057.44860575353
813,14057.44860575353
814,14057.44860575353
815,14057.44860575353
816,14057.44860575353
817,14057.44860575353
818,14057.44860575353
819,14057.44860575353
820,14057.44860575353
821,14057.44860575353
822,14057.44860575353
823,14057.44860575353
824,14057.44860575353
825,14057.44860575353
826,14057.44860575353
827,14057.44860575353
828,14057.44860575353
829,14057.44860575353
830,14057.44860575353
831,14057.44860575353
832,14057.44860575353
833,14057.44860575353
834,14057.44860575353
835,14050.423394056503
836,13989.519873911247
837,13465.236725209083
838,13566.861750299753
839,13285.530174390757
840,13190.511872832263
841,12837.94672447334
842,12995.415571808104
843,12995.415571808104
844,12995.415571808104
845,12995.415571808104
846,12995.415571808104
847,12995.415571808104
848,12995.415571808104
849,12995.415571808104
850,12988.921111252479
851,13126.40053333365
852,12989.937013550938
853,12781.346072955057
854,12674.850439145823
855,12507.514822851817
856,12763.343167272391
857,12779.484269791094
858,12624.05696663982
859,12618.582427646465
860,12792.690178431534
861,12832.082878312976
862,12981.358100508478
863,12625.129536086362
864,12841.16933187361
865,12769.720274273686
866,12728.295769795322
867,12754.08440822194
868,12754.08440822194
869,12747.710552945467
870,12612.162268025893
871,12378.225857320886
872,12378.225857320886
873,12378.225857320886
874,12378.225857320886
875,12378.225857320886
876,12378.225857320886
877,12378.225857320886
878,12378.225857320886
879,12372.039837402184
880,12137.912222916466
881,12110.90196005064
882,12011.250957194045
883,11857.787786956349
884,11956.600013920917
885,11807.962667133717
886,11950.830853792211
887,11869.629915046084
888,11869.629915046084
889,11869.629915046084
890,11869.629915046084
891,11869.629915046084
892,11869.629915046084
893,11869.629915046084
894,11863.698066013078
