,equity
640,8513.34484110985
641,8513.34484110985
642,8513.34484110985
643,8513.34484110985
644,8513.34484110985
645,8513.34484110985
646,8513.34484110985
647,8513.34484110985
648,8513.34484110985
649,8513.34484110985
650,8513.34484110985
651,8513.34484110985
652,8513.34484110985
653,8513.34484110985
654,8513.34484110985
655,8513.34484110985
656,8513.34484110985
657,8513.34484110985
658,8513.34484110985
659,8513.34484110985
660,8509.09029596187
661,9638.091143544192
662,11109.246192262437
663,10315.199991308806
664,10169.201662627524
665,9296.329364968306
666,9789.535406267942
667,9828.053365608377
668,9665.359656164168
669,9759.97290674696
670,9696.971663902561
671,9658.821565011485
672,9812.73232062336
673,9807.077323033582
674,9811.56704839276
675,9865.122731626734
676,9883.522608632707
677,9927.242023331894
678,9993.30953153609
679,10523.365593493061
680,11559.703879055152
681,11872.221894337821
682,12575.925224706694
683,13747.147198232875
684,13541.557761617198
685,12651.855277192033
686,12962.079305573696
687,13084.99153500392
688,13388.101690660014
689,13552.106902575464
690,13846.13935907049
691,14038.849110266585
692,14066.326686433751
693,14691.313592777611
694,13885.270799967544
695,13736.720296616348
696,13538.491496257526
697,13615.035030299605
698,13225.93578099088
699,12286.90886303131
700,12286.90886303131
701,12286.90886303131
702,12286.90886303131
703,12286.90886303131
704,12286.90886303131
705,12286.90886303131
706,12286.90886303131
707,12286.90886303131
708,12286.90886303131
709,12286.90886303131
710,12286.90886303131
711,12286.90886303131
712,12286.90886303131
713,12286.90886303131
714,12286.90886303131
715,12286.90886303131
716,12286.90886303131
717,12286.90886303131
718,12286.90886303131
719,12286.90886303131
720,12286.90886303131
721,12286.90886303131
722,12286.90886303131
723,12280.768478791915
724,12240.287358169126
725,12162.742066675823
726,11852.982481143828
727,11864.50075694968
728,11937.807419614484
729,11924.169158088005
730,11856.586054085126
731,11568.233088141453
732,11752.717494675973
733,12219.253984958414
734,12697.699451391654
735,12614.387637624734
736,12384.420877529126
737,11923.779800355958
738,11745.1344171901
739,12018.436692868623
740,12132.886858914555
