,equity
505,51578.58626963752
506,49324.21984297395
507,47725.456376008675
508,46888.46409833931
509,41940.97611250277
510,43492.5775135488
511,44242.549643224105
512,44242.549643224105
513,44242.549643224105
514,44242.549643224105
515,44242.549643224105
516,44242.549643224105
517,44242.549643224105
518,44242.549643224105
519,44242.549643224105
520,44242.549643224105
521,44242.549643224105
522,44242.549643224105
523,44242.549643224105
524,44242.549643224105
525,44242.549643224105
526,44242.549643224105
527,44220.439423512355
528,43030.343239212256
529,43180.752837498265
530,44234.36318710254
531,42870.1463428538
532,42691.3834380756
533,42691.3834380756
534,42691.3834380756
535,42691.3834380756
536,42691.3834380756
537,42691.3834380756
538,42691.3834380756
539,42691.3834380756
540,42691.3834380756
541,42691.3834380756
542,42691.3834380756
543,42691.3834380756
544,42691.3834380756
545,42691.3834380756
546,42691.3834380756
547,42691.3834380756
548,42691.3834380756
549,42691.3834380756
550,42691.3834380756
551,42691.3834380756
552,42691.3834380756
553,42691.3834380756
554,42691.3834380756
555,42691.3834380756
556,42691.3834380756
557,42691.3834380756
558,42691.3834380756
559,42691.3834380756
560,42691.3834380756
561,42691.3834380756
562,42691.3834380756
563,42691.3834380756
564,42691.3834380756
565,42691.3834380756
566,42691.3834380756
567,42691.3834380756
568,42691.3834380756
569,42691.3834380756
570,42691.3834380756
571,42691.3834380756
572,42691.3834380756
573,42691.3834380756
574,42691.3834380756
575,42691.3834380756
576,42691.3834380756
577,42691.3834380756
578,42691.3834380756
579,42691.3834380756
580,42691.3834380756
581,42691.3834380756
582,42691.3834380756
583,42691.3834380756
584,42691.3834380756
585,42670.048413868666
586,42672.837274439735
587,40576.158409998396
588,43017.28804679909
589,50343.35021733295
590,49365.65951125033
591,48062.86665615204
592,44023.21415991227
593,43360.597264830096
594,41294.22498193664
595,41591.2940246879
596,41461.9997512453
597,41281.535868636456
598,41281.535868636456
599,41281.535868636456
600,41281.535868636456
601,41281.535868636456
602,41281.535868636456
603,41281.535868636456
604,41281.535868636456
605,41281.535868636456
606,41281.535868636456
607,41281.535868636456
608,41281.535868636456
609,41281.535868636456
610,41281.535868636456
611,41281.535868636456
612,41281.535868636456
613,41281.535868636456
614,41281.535868636456
615,41281.535868636456
616,41281.535868636456
617,41281.535868636456
618,41281.535868636456
619,41281.535868636456
620,41281.535868636456
621,41281.535868636456
622,41281.535868636456
623,41281.535868636456
624,41281.535868636456
625,41281.535868636456
626,41260.90541592849
627,40445.72301536416
628,40309.26602714108
629,37688.147269799156
630,38900.2787600616
631,38074.18382534796
632,38335.538766659236
633,38962.29505890325
634,38620.446971511374
635,36645.7487017674
636,39185.295134338536
637,40258.80876343322
638,40977.61723689379
639,39716.86736316025
640,37169.43210922075
641,36490.706696878406
642,38585.37202273197
643,38585.37202273197
644,38585.37202273197
645,38585.37202273197
646,38585.37202273197
647,38585.37202273197
648,38585.37202273197
649,38585.37202273197
650,38585.37202273197
651,38585.37202273197
652,38585.37202273197
653,38585.37202273197
654,38585.37202273197
655,38566.08897824285
656,37047.4600089347
657,37344.43722185351
658,37686.19611071962
659,37271.69147465259
660,38802.93548319488
661,38854.86666042206
662,38784.53671526213
663,41021.69178712988
664,47755.65308841288
665,54706.80404946174
666,52503.28908221839
667,50617.88164099339
668,54283.25790099123
669,55206.250928753616
670,55056.236230527255
671,57683.29734624216
672,66170.31587212159
673,72939.80928915256
674,75405.82183064712
675,67162.69406329242
676,63483.96358248311
677,72718.21146375521
678,70021.13369838445
679,66468.13751432598
680,66627.18882971449
681,73504.3286234449
682,72533.4013837386
683,69748.43933456182
684,70745.23303422616
685,74564.93180561494
686,73996.31515357347
687,74778.01680476862
688,72148.11644855906
689,66775.8328601151
690,68949.80993572452
691,66465.79165795298
692,66465.79165795298
693,66465.79165795298
694,66465.79165795298
695,66465.79165795298
696,66465.79165795298
697,66465.79165795298
698,66465.79165795298
699,66432.57537026785
700,74625.20304199318
701,75211.58310001185
702,80963.12664493904
703,95946.528616443
704,91590.74599887506
705,92832.23330352995
706,78819.25608267699
707,76521.36410757544
708,77359.52054637096
709,83235.80551495036
710,83729.0097904196
711,92360.0097363287
712,98290.70898360183
713,95100.25417256962
714,93956.08835014497
715,99760.6905457338
716,101193.4396263258
717,139419.72261879256
718,121254.40944548373
719,133714.12067735696
720,138042.83014206862
721,127112.33038315934
722,117558.723100974
723,107560.81661274261
724,114477.42787277955
725,112822.1193481313
726,115494.65331677956
727,126027.4023531252
728,118782.43749159967
729,126329.5261284987
730,149218.75374574302
731,136131.93056241394
732,169254.3370655279
733,154515.58654607303
734,147706.45609695
735,140453.86188696354
736,142820.06332809088
737,156042.27592037193
738,169382.96409743495
739,176710.02327050135
740,167574.47748668923
741,175623.4085869848
742,178868.02546684496
743,186824.7108084737
744,205829.52816705243
745,204069.27669327153
746,221146.28064802376
747,239813.42052161205
748,275021.050911473
749,241032.0670702337
750,279023.9367549197
751,270556.9362746923
752,266074.2211602583
753,289411.1055273955
754,316813.518363568
755,422601.4020751811
756,397538.1096457219
757,411617.5993373021
758,406545.84807969246
759,431312.13186513254
760,440515.3644718625
761,438617.16996423126
781,9995.002498750626
782,10214.670132406745
783,10078.461592849204
784,7965.824254382499
785,7036.524655939591
786,7661.580780813865
787,8019.382694623899
788,8042.155122630185
789,7168.455685824227
790,7785.844446380113
791,8885.144336634154
792,8779.144776127663
793,8287.137575276702
794,8305.902349925016
795,9099.68757111837
796,9015.881682946982
797,8084.847539977655
798,8460.528870058062
799,8310.641486145172
800,7802.7860665972685
801,7802.7860665972685
802,7802.7860665972685
803,7802.7860665972685
804,7802.7860665972685
805,7802.7860665972685
806,7802.7860665972685
807,7802.7860665972685
808,7802.7860665972685
809,7802.7860665972685
810,7802.7860665972685
811,7802.7860665972685
812,7802.7860665972685
813,7802.7860665972685
814,7802.7860665972685
815,7802.7860665972685
816,7802.7860665972685
817,7802.7860665972685
818,7802.7860665972685
819,7802.7860665972685
820,7802.7860665972685
821,7802.7860665972685
822,7802.7860665972685
823,7802.7860665972685
824,7802.7860665972685
825,7802.7860665972685
826,7802.7860665972685
827,7802.7860665972685
828,7802.7860665972685
829,7802.7860665972685
830,7802.7860665972685
831,7802.7860665972685
832,7802.7860665972685
833,7802.7860665972685
834,7802.7860665972685
835,7802.7860665972685
836,7802.7860665972685
837,7802.7860665972685
838,7802.7860665972685
839,7802.7860665972685
840,7802.7860665972685
841,7802.7860665972685
842,7798.886623285626
843,7329.809498896782
844,7484.580191157452
845,6979.943373059175
846,6903.043209756354
847,7521.2437086709515
848,7313.838568776362
849,7508.978050116775
850,7081.153299794365
851,7282.690225707361
852,7987.9816995905485
853,9693.85559425054
854,10010.235558408507
855,9893.319645563048
856,10088.150135129834
857,10955.624816694088
858,12367.575874845366
859,12139.125765449908
860,12348.251397837195
861,12977.040453147438
862,13024.601518830206
863,12268.924662967485
864,11353.62528656893
865,11296.666926392223
866,10938.417919479181
867,11383.317423726072
868,10807.251569006
869,10731.763563851568
870,11300.594409063746
871,11975.796658489218
872,11132.621867084028
873,11132.621867084028
874,11132.621867084028
875,11132.621867084028
876,11132.621867084028
877,11132.621867084028
878,11127.05833791507
879,11273.560497318304
880,11494.771718649588
881,11985.001489074692
882,13662.157987754219
883,13463.512588228112
884,11987.717018703877
885,12448.776277652116
886,11069.486453411218
887,11596.463413135838
888,12233.115652010185
889,11886.105015171619
890,10883.96832739711
891,10828.179829848488
892,10406.115618635702
893,10406.115618635702
894,10406.115618635702
895,10406.115618635702
896,10406.115618635702
897,10406.115618635702
898,10406.115618635702
899,10406.115618635702
900,10406.115618635702
901,10406.115618635702
902,10406.115618635702
903,10406.115618635702
904,10406.115618635702
905,10406.115618635702
906,10406.115618635702
907,10406.115618635702
908,10406.115618635702
909,10406.115618635702
910,10400.915161055174
911,10369.048733305643
912,10265.331609307628
913,10746.290907330538
914,10102.901941902219
915,9723.083914562609
916,9536.078264849933
917,9209.143676253478
918,9209.143676253478
919,9209.143676253478
920,9209.143676253478
921,9209.143676253478
922,9209.143676253478
923,9209.143676253478
924,9209.143676253478
925,9209.143676253478
926,9209.143676253478
927,9209.143676253478
928,9209.143676253478
929,9209.143676253478
930,9209.143676253478
931,9204.541405550703
932,9013.214050157609
933,8876.688836946789
934,8846.345339741018
935,8308.09095653675
936,8869.74716862457
937,8869.74716862457
938,8869.74716862457
939,8869.74716862457
940,8869.74716862457
941,8869.74716862457
942,8869.74716862457
943,8869.74716862457
944,8869.74716862457
945,8869.74716862457
946,8869.74716862457
947,8869.74716862457
948,8869.74716862457
949,8869.74716862457
950,8869.74716862457
951,8869.74716862457
952,8869.74716862457
953,8865.314511368886
954,8843.484562054531
955,8290.985576336543
956,8854.238946847097
957,8937.284108987647
958,8910.168732913933
959,9043.813056361685
960,8852.998056294107
961,9020.09917221771
962,9280.95326743778
963,9790.803830987752
964,9316.110463469411
965,9370.293963162008
966,9257.514680204571
967,9610.099486617924
968,10041.960900694403
969,9829.637815859885
970,10399.32573804587
971,11428.771143114058
972,10031.850244996655
973,10417.478898519717
974,11010.053444481016
975,11596.055105493317
976,12680.327739348922
977,13138.476584312268
978,13848.28789480352
979,12422.047190871746
980,10858.945572472694
981,29387.394630054227
982,20473.18067611573
983,18105.64093992365
984,22543.46960013949
985,24542.062169000696
986,24075.13669416588
987,28036.06481784998
988,27238.10644973266
989,30239.90287559364
990,31610.719874098017
991,38888.805937557736
992,43336.05358710348
993,42234.63858441654
994,45870.143845397644
995,37509.34927281909
996,42610.11069942339
997,47980.41656402779
998,46352.60373596314
999,45423.34654668503
1000,43405.08326024986
1001,41809.30348765241
1002,48525.011378243245
1003,42597.10463243534
1004,47522.21841215505
1005,47858.628497833844
1006,53318.820858256695
1007,82276.56055842964
1008,75591.14080656815
1009,73154.48100122916
1010,76032.33355324675
1011,84686.56723997048
1012,75989.59541989636
1013,70792.73482689043
1014,66518.23667366622
1015,60342.4860085354
1016,66391.85758635348
1017,69366.21471713879
1018,63950.14108352924
