,equity
586,60881.72114945638
587,61515.159450136445
588,44874.22225064632
589,58772.41159709767
590,56999.12912170052
591,56677.153284356595
592,55622.29806253362
593,57377.7158199433
594,69764.16416679052
595,67324.07921333305
596,66367.22186667503
597,65244.4556607942
598,66699.96664622232
599,69788.59849074758
600,68579.65569153421
601,65731.0274383952
602,66600.92144256948
603,64038.26898918057
604,58268.36597051424
605,58643.40979200608
606,59483.416919758754
607,59483.416919758754
608,59483.416919758754
609,59483.416919758754
610,59483.416919758754
611,59483.416919758754
612,59483.416919758754
613,59483.416919758754
614,59483.416919758754
615,59483.416919758754
616,59453.690074721395
617,58989.9373391868
618,58488.775653580546
619,61398.285729372416
620,58489.62554206223
621,60144.70945680197
622,58391.666656629495
623,58789.54841587419
624,58712.41641720193
625,60579.76459920219
626,60409.88390100667
627,63835.44718667088
628,75274.66901263321
629,84951.03736921053
630,82792.9672800044
631,95681.43372560912
632,92382.87795940664
633,93553.51620166632
634,96525.38222584286
635,117428.22315041232
636,114300.76286865905
637,118435.75670753431
638,113827.0886088926
639,110694.78765796107
640,110382.99867811942
641,108399.6545752463
642,108829.25472690264
643,107346.8367427196
644,109986.45179806609
645,109927.23674189637
646,111898.95954357428
647,108294.4346860461
648,108805.88279365623
649,117337.29432079007
650,156835.48275255668
651,153195.73371262985
652,191235.23637227272
653,211000.87108083494
654,220313.3763122307
655,230113.86533880755
656,211224.8721232692
657,194221.15327015193
658,191018.4963336059
659,206460.24948823787
660,236002.13292581224
661,280805.35297402565
662,279301.5122573531
663,269094.1853097599
664,270954.0184452401
665,271681.7446956031
666,297055.94130151207
667,300848.2730376566
668,320224.0121673265
669,312480.75211402
670,316833.6592071835
671,341136.29424437735
672,408859.3622942428
673,412420.4319841856
674,486137.0983652753
675,481350.67424310505
676,434753.0255208283
677,438240.2288162105
678,448282.84368088545
679,459406.77535597835
680,449773.4002710724
681,448075.80345641176
682,434694.90053901554
683,407895.5518043363
684,407288.9161867772
685,413788.67853635584
686,391941.6299844684
687,366998.9027306004
688,366998.9027306004
689,366998.9027306004
690,366998.9027306004
691,366998.9027306004
692,366998.9027306004
693,366998.9027306004
694,366998.9027306004
695,366998.9027306004
696,366998.9027306004
697,366998.9027306004
698,366998.9027306004
699,366998.9027306004
700,366998.9027306004
701,366998.9027306004
702,366998.9027306004
703,366998.9027306004
704,366998.9027306004
705,366998.9027306004
706,366998.9027306004
707,366998.9027306004
708,366998.9027306004
709,366998.9027306004
710,366998.9027306004
711,366998.9027306004
712,366998.9027306004
713,366998.9027306004
714,366998.9027306004
715,366998.9027306004
716,366815.49498310883
717,337430.8953499939
718,332930.3959781042
719,333526.2015877941
739,9995.002498750626
740,9968.218471159456
741,9774.215407923744
742,9836.381154126984
743,9967.259808428253
744,10633.985519132535
745,10408.93288371113
746,10499.337806619638
747,10766.91369344125
748,10975.367335951529
749,11040.40907034838
750,11503.708567728549
751,11498.88094403794
752,12256.771444005042
753,12515.287463457447
754,12665.973098904049
755,12821.354163496222
756,11539.784559981743
757,11490.184359387924
758,9760.36020866119
759,10349.511940275126
760,11049.960586385609
761,11049.960586385609
762,11049.960586385609
763,11049.960586385609
764,11049.960586385609
765,11049.960586385609
766,11049.960586385609
767,11049.960586385609
768,11049.960586385609
769,11049.960586385609
770,11049.960586385609
771,11049.960586385609
772,11049.960586385609
773,11049.960586385609
774,11049.960586385609
775,11049.960586385609
776,11049.960586385609
777,11049.960586385609
778,11049.960586385609
779,11049.960586385609
780,11044.438367202009
781,11775.604293871
782,11494.649562553528
783,11199.24841099469
784,11583.408274708558
785,11616.914119836543
786,11430.097985095153
787,11237.518526044809
788,11245.010261346926
789,11368.158958310298
790,11857.101100136842
791,11954.542908224283
792,11857.869152511686
793,11426.908515691215
794,11522.122385592082
795,11659.90980904029
796,11686.037660973578
797,13016.305546804757
798,13049.772696164238
799,12933.23394002072
800,12809.85541364442
801,12183.471765088108
802,12077.306992700707
803,11837.889237374298
804,11681.043561638515
805,11528.536192805175
806,11528.536192805175
807,11528.536192805175
808,11528.536192805175
809,11528.536192805175
810,11528.536192805175
811,11528.536192805175
812,11528.536192805175
813,11528.536192805175
814,11528.536192805175
815,11528.536192805175
816,11528.536192805175
817,11528.536192805175
818,11528.536192805175
819,11528.536192805175
820,11528.536192805175
821,11528.536192805175
822,11522.774805402474
823,12086.3239704599
824,12548.315661464509
825,11702.425047050614
826,12305.744395339456
827,12040.882732143244
828,12385.324144129265
829,13203.215117463626
830,13036.077715160764
831,12940.93478679043
832,12998.41985674014
833,13593.526199747701
834,13858.426051867045
835,14341.144780902057
836,14093.645950289007
837,14885.570842700661
838,16039.728411662898
839,18571.612246242243
840,18233.936240669987
841,18431.574658517595
842,18784.50236526606
843,18493.049277530845
844,16718.482817177777
845,17484.5979645708
846,18244.26037735821
847,18123.385275219363
848,18217.39446993419
849,18387.542830145307
850,18116.815587036646
851,16760.130224661945
852,16987.72307909195
853,17833.30102169769
854,18516.512790584493
855,17265.065172365146
856,17256.436953888202
857,21822.1572595777
858,23541.85156496165
859,23308.999743498098
860,22928.18603239181
861,23322.164951499115
862,24118.297118272207
863,26619.65392479434
864,27697.577564950898
